identifier,code_system,disease_code,preferred_name,evs_nci_code,corrected_preferred_name_for_icd9,date_last_created,date_last_updated,site_code,site_name,disease_code_site_code,evs_preferred_name,comments
3623,SDC,10014709,"Endocrine cancer, NOS",C3575,,2019-11-27 16:17:07.189885,,,,,,
3533,Legacy Codes - CTEP,10036911,Prostate cancer recurrent,C7902,,2019-11-27 16:17:07.189885,,,,,,
2475,ICD10,C92.62,Acute myeloid leukemia with 11q23-abnormality in relapse,C156719,,2019-11-27 16:16:29.229898,,,,,,
3374,ICD9,596.0,Bladder neck obstruction (596.0),C79541,Bladder neck obstruction ,2019-11-27 16:17:07.189885,,,,,,
3442,Legacy Codes - CTEP,10010029,Colorectal cancer NOS,C2955,,2019-11-27 16:17:07.189885,,,,,,
2582,ICD10,D46.9,"Myelodysplastic syndrome, unspecified",C3247,,2019-11-27 16:16:29.229898,,,,,,
2720,ICD10,Z85.841,Personal history of malignant neoplasm of brain,C18849,,2019-11-27 16:16:29.229898,,,,,,
2118,ICD10,C44.6,"Malignant neoplasm: Skin of upper limb, including shoulder",C2920,,2019-11-27 16:16:29.229898,,,,,,
2868,ICD9,160.0,Malignant neoplasm of nasal cavities (160.0),C4918,Malignant neoplasm of nasal cavities ,2019-11-27 16:16:29.229898,,,,,,
2027,ICD10,C32.3,Malignant neoplasm: Laryngeal cartilage,C7484,,2019-11-27 16:16:29.229898,,,,,,
2196,ICD10,C53.0,Malignant neoplasm: Endocervix,C3553,,2019-11-27 16:16:29.229898,,,,,,
2350,ICD10,C81.21,"Mixed cellularity classical Hodgkin lymphoma, lymph nodes of head, face, and neck",C3517,,2019-11-27 16:16:29.229898,,,,,,
2895,ICD9,164.9,"Malignant neoplasm of mediastinum, part unspecified (164.9)",C3549,"Malignant neoplasm of mediastinum, part unspecified ",2019-11-27 16:16:29.229898,,,,,,
2575,ICD10,D46,Myelodysplastic syndromes,C3247,,2019-11-27 16:16:29.229898,,,,,,
3252,ICD9,209.29,Malignant carcinoid tumors of other sites (209.29),C72074,Malignant carcinoid tumors of other sites ,2019-11-27 16:17:07.189885,,,,,,
2579,ICD10,D46.4,"Refractory anaemia, unspecified",C2872,,2019-11-27 16:16:29.229898,,,,,,
3447,Legacy Codes - CTEP,10013806,Intraductal neoplasm NOS,C2924,,2019-11-27 16:17:07.189885,,,,,,
3717,SDC,10035054,Pineal parenchymal tumor,C6965,,2019-11-27 16:17:07.189885,,,,,,
3063,ICD9,195.2,Malignant neoplasm of abdomen (195.2),C156714,Malignant neoplasm of abdomen ,2019-11-27 16:17:07.189885,,,,,,
3510,Legacy Codes - CTEP,10029514,Non small cell lung cancer NOS,C2926,,2019-11-27 16:17:07.189885,,,,,,
3661,SDC,10024744,Lobular carcinoma in situ,C4018,,2019-11-27 16:17:07.189885,,,,,,
4544,ICD-O-3,8680/3,"Paraganglioma, malignant",C3308,,2020-06-05 17:20:00.161134,2022-05-24 23:10:27.836316,C38.1,Anterior mediastinum,8680/3C38.1,Paraganglioma,
1964,ICD10,C16,Malignant neoplasm of stomach,C9331,,2019-11-27 16:16:29.229898,,,,,,
4591,ICD-O-3,8680/3,"Paraganglioma, malignant",C3308,,2020-06-05 17:20:00.161134,2022-05-24 23:10:27.836316,C48.0,Retroperitoneum,8680/3C48.0,Paraganglioma,
3399,ICD9,866.00,Unspecified injury to kidney without mention of open wound into cavity (866.00),C35246,Unspecified injury to kidney without mention of open wound into cavity ,2019-11-27 16:17:07.189885,,,,,,
3797,SDC,10066352,Renal cell carcinoma with sarcomatoid features,C27893,,2019-11-27 16:17:07.189885,,,,,,
5244,ICD-O-3,8680/3,"Paraganglioma, malignant",C3308,,2020-06-05 17:20:00.161134,2022-05-24 23:10:27.836316,C40.0,"Long bones of upper limb, scapula and associated joints",8680/3C40.0,Paraganglioma,
2610,ICD10,D81.89,Other combined immunodeficiencies,C27871,,2019-11-27 16:16:29.229898,,,,,,
2425,ICD10,C85.19,"Unspecified B-cell lymphoma, extranodal and solid organ sites",C3457,,2019-11-27 16:16:29.229898,,,,,,
3007,ICD9,187.8,Malignant neoplasm of other specified sites of male genital organs (187.8),C8561,Malignant neoplasm of other specified sites of male genital organs ,2019-11-27 16:17:07.189885,,,,,,
3038,ICD9,191.2,Malignant neoplasm of temporal lobe (191.2),C4577,Malignant neoplasm of temporal lobe ,2019-11-27 16:17:07.189885,,,,,,
3178,ICD9,202.88,Other malignant lymphomas involving lymph nodes of multiple sites (202.88),C3208,Other malignant lymphomas involving lymph nodes of multiple sites ,2019-11-27 16:17:07.189885,,,,,,
1974,ICD10,C18,Malignant neoplasm of colon,C9242,,2019-11-27 16:16:29.229898,,,,,,
2353,ICD10,C81.3,Lymphocyte depleted classical Hodgkin lymphoma,C9283,,2019-11-27 16:16:29.229898,,,,,,
2768,ICD9,145,Malignant neoplasm of other and unspecified parts of mouth (145),C9314,Malignant neoplasm of other and unspecified parts of mouth ,2019-11-27 16:16:29.229898,,,,,,
3803,SDC,90600112,Pilocytic astrocytoma,C4047,,2019-11-27 16:17:07.189885,,,,,,
5309,ICD-O-3,8680/3,"Paraganglioma, malignant",C3308,,2020-06-05 17:20:00.161134,2022-05-24 23:10:27.836316,C34.0,Main bronchus,8680/3C34.0,Paraganglioma,
2214,ICD10,C57.9,"Malignant neoplasm: Female genital organ, unspecified",C4913,,2019-11-27 16:16:29.229898,,,,,,
2444,ICD10,C90.02,Multiple myeloma in relapse,C123908,,2019-11-27 16:16:29.229898,,,,,,
3167,ICD9,202.6,Malignant mast cell tumors (202.6),C8991,Malignant mast cell tumors ,2019-11-27 16:17:07.189885,,,,,,
3790,SDC,10065866,Plexiform neurofibroma,C3797,,2019-11-27 16:17:07.189885,,,,,,
2244,ICD10,C69.21,Malignant neoplasm of right retina,C3216,,2019-11-27 16:16:29.229898,,,,,,
5363,ICD-O-3,8680/3,"Paraganglioma, malignant",C3308,,2020-06-05 17:20:00.161134,2022-05-24 23:10:27.836316,C71.0,Cerebrum,8680/3C71.0,Paraganglioma,
2601,ICD10,D61.3,Idiopathic aplastic anaemia,C61230,,2019-11-27 16:16:29.229898,,,,,,
3437,Legacy Codes - CTEP,10009013,Chronic myeloid leukemia,C9128,,2019-11-27 16:17:07.189885,,,,,,
3359,ICD9,478.79,"Other diseases of larynx, not elsewhere classified (478.79)",C26810,"Other diseases of larynx, not elsewhere classified ",2019-11-27 16:17:07.189885,,,,,,
